t2.micro,t2.small,t2.medium,c3.large,c3.xlarge
65101.09533,60805.42867,103441.1047,79907.72067,115644.7467
63331.96,62327.172,105766.1753,81633.26267,117925.1913
65581.006,64075.24,107343.006,83708.138,118190.4047
62675.83933,63061.84867,107293.5393,80159.44,118377.6153
65150.41467,63127.48333,107487.8633,80005.844,80969.552
63818.26933,60450.95267,112661.294,79921.02867,107427.994
67580.73467,62712.89533,116787.0733,86439.75667,118710.7433
67271.246,60575.31733,113087.7753,85306.28133,83029.216
65057.75933,61737.46067,113465.4053,85847.84133,118776.9527
62681.786,63594.258,113542.2467,81832.62933,114991.9287
67283.14067,62056.46067,101575.318,80507.86467,115436.8313
69153.762,63543.96133,110019.4707,83845.95533,86608.014
67534.20067,64412.12133,109123.7107,82501.372,115775.44
69713.61133,64233.90733,105665.9567,81690.396,117734.5953
69641.58733,61258.77133,107875.7513,82869.68867,81527.28733
64016.24267,60065.418,105652.0713,82330.972,82834.846
67256.37867,63056.30467,108001.7927,84400.21533,107876.388
66066.06,62951.186,108461.47,82690.278,119087.7387
63059.78133,62926.05467,105207.1473,83212.80733,118729.426
67182.352,61722.73933,105402.2853,81393.72867,114213.0273
63694.76267,67484.17467,104380.8327,80586.22067,112837.3433
66839.402,66151.83267,108477.7993,81878.78867,98391.16533
65696.03333,66786.55333,109554.1173,83821.51267,118622.3787
65568.122,64813.71467,109276.25,85324.60867,117513.5273
63358.94533,62354.572,106491.2613,84051.53667,85548.04333
