t2.micro,t2.small,t2.medium,c3.large,c3.xlarge
1877.6,1828.4,2666.3,2260.7,3348.8
601.8,1823.2,2672.4,2270.8,3319.6
231.4,1821.6,2666.7,2270.4,3326.3
232.1,828.6,2651.4,2270.2,3343.9
232.5,429,2661.3,2270.7,3335.6
1906.6,1854.9,2818.2,2268.8,3275.6
397.8,1856.5,2831.5,2267.9,3276.5
228.2,1852.4,2818.5,2268.7,3267.1
230.1,1588.4,2822,2269.2,3270.6
231.1,454.1,2817.6,2263.8,3260.5
1907.7,1807.8,2642.1,2224.9,3292.6
408.8,1810.5,2647.6,2221.4,3297.6
234.8,1817.8,2631.3,2228.5,3292.1
229.8,1112.7,2652.3,2205.4,3291.1
231.3,445,2641.9,2203.3,3323
1885.1,1802.5,2667.5,2275.9,3246.3
377.5,1799.5,2656.2,2278.6,3247
235.4,1791.3,2654.5,2280.8,3248.3
228.1,891.9,2655.1,2279.7,3244.6
232,436.4,2657.8,2282.1,3235.1
1864.3,1802.2,2655.6,2290.6,3312
336.4,1802.7,2745.3,2258.1,3267.1
217.1,1806.8,2771.1,2234.3,3257.7
227,1795.6,2782.2,2221.3,3243.3
231.2,1793.6,2741.9,2210.2,3244.6
