t2.micro,t2.small,t2.medium,c3.large,c3.xlarge
239.29,253.211,272.515,315.699,316.692
239.347,253.5,271.193,313.574,324.853
237.568,252.926,4.98222,315.7,325.467
238.107,252.469,4.99306,312.209,325.974
238.133,252.322,5.0212,314.625,325.312
247.495,228.301,255.073,268.732,355.051
246.603,229.295,259.235,267.343,352.73
246.141,228.658,256.889,270.353,355.532
246.209,228.324,255.986,267.23,356.324
244.613,223.947,255.956,267.048,355.156
239.93,204.285,272.352,312.318,293.133
241.466,205.099,271.091,312.432,291.958
240.303,204.038,4.99483,313.089,292.726
239.879,206.604,5.00938,311.068,293.335
239.616,206.027,5.00494,311.483,289.411
240.143,235.274,235.086,266.451,337.302
239.715,228.469,231.941,268.954,337.201
241.509,229.657,235.678,266.88,334.925
240.693,231.184,4.9776,269.04,335.078
241.001,226.606,4.97754,267.894,338.283
173.288,232.123,267.339,287.458,354.273
176.568,231.064,257.16,287.348,350.399
172.928,232.38,4.98957,287.161,353.942
171.588,230.762,4.99609,286.702,353.547
169.404,231.347,4.99301,46.8487,355.52
