t2.micro,t2.small,t2.medium,c3.large,c3.xlarge
63,62.9,62.2,66.4,109
62.2,63,62.2,62.4,87.6
63,63,62.2,62.4,87.5
62.1,63,62.2,62.4,87.6
63.1,62.8,62.3,62.4,87.6
63,62.5,61,66.4,109
63,62.6,62.1,62.4,87.6
63,62.7,62.4,62.4,87.6
63.1,62.8,62.3,62.4,87.6
63.2,62.2,62.3,62.4,87.6
62.7,59.9,62.2,66.4,109
62.8,62.8,62.3,62.4,87.6
62.6,61.9,62.3,62.4,87.6
62.9,56.8,62.3,62.4,87.6
62.9,62.5,62.3,62.4,87.6
62.8,62.9,62.4,66.4,91.3
62.9,62.8,62,62.4,90.9
63.1,62.8,62.3,62.4,91
62.8,62.4,62.4,62.4,91.3
63.1,62.8,62.2,62.4,91
62.5,62.4,62.1,66.4,109
62.7,62.6,61.8,62.4,87.6
63,62.6,61.8,62.4,87.6
62,62.3,62.3,62.4,87.6
62.8,62.7,61.9,62.4,87.6
