t2.micro,t2.small,t2.medium,c3.large,c3.xlarge
498,441,396,372,365
532,464,368,329,355
646,448,403,359,355
527,400,400,380,361
547,438,427,357,346
501,477,438,339,310
486,454,472,323,323
485,461,444,360,333
469,480,467,355,338
475,494,403,332,326
712,444,488,325,416
580,473,549,308,406
546,502,466,545,418
516,484,460,317,421
576,481,458,302,427
484,478,463,326,345
498,470,553,385,345
485,472,547,323,337
477,502,535,364,346
485,489,517,342,345
550,480,457,469,336
519,447,475,322,352
483,487,452,337,357
476,475,518,353,321
463,483,460,330,312
