t2.micro,t2.small,t2.medium,c3.large,c3.xlarge
33894.27,32412.55,42543.07,30438.36,40664.65
32980.93,32634.05,42714.98,30676.73,48360.41
33733.38,32679.54,42881.03,30598.4,48364.69
34249.18,32979.67,43241.82,30588.67,48228.17
34693.58,35453.91,43347.41,30161.13,48512.07
37792.86,30422.72,45755.55,29905.28,30654.51
34249.22,30087.17,45579.9,29672.42,47610.89
33807.15,30233.53,45551.34,29998.08,45014.21
33651.73,28951.68,45314.65,30187.97,47700.39
34504.33,30681.23,45802.88,29971.92,46890.81
35589.31,34768.58,43135.03,29365.97,30606.09
35646.73,34841.83,42522.89,29578.69,47669.91
34061.54,35593.7,43248.95,29626.05,47381.86
35226.49,35056.75,43106.13,29669.02,30748.93
34360.82,35045.1,42714.56,29900.7,30609.85
33426.87,31614.9,41971.34,29846.86,30394.5
33582.46,32701.88,42338.1,30037.68,47429.61
33992.74,30861.33,42125.64,29912.89,46755.04
33843.56,31459.27,42376.75,30456.09,46460.73
33368,31374.87,42603.53,30542.72,47155.3
33277.51,31330.02,42247.11,30037.68,46460.12
34011.53,30668.84,42793.52,29624.15,39710.85
33676.61,31404.2,42615.88,29994.3,42380.56
33177.05,31603.62,42545.65,30693.28,46825.32
32342.23,32012.29,42287.41,29913.17,41292.19
